,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
0,,ppc,argB,argC,argE,argH,proC,icd,nadC,panB,panD,serC,cysC,cysE,cysH,glnA,serA,hisB,hisC,hisD,hisI,metA,guaA,guaB,purA,purC,purD,purF,purL,purM,pyrB,pyrC,pyrD,pyrE,pyrF,lysA,tyrA,trpA,trpB,trpC,trpD,trpE,ilvC,ilvE,leuB,leuD,leuC,Negative,Positive
35,lysA,106180000,121340000,111230000,116290000,101120000,91008000,106180000,126400000,126400000,141570000,126400000,237630000,111230000,141570000,65728000,111230000,111230000,101120000,96064000,121340000,111230000,101120000,85952000,96064000,101120000,121340000,91008000,121340000,111230000,126400000,101120000,101120000,126400000,121340000,60672000,156740000,131460000,101120000,171900000,298300000,237630000,91008000,141570000,80896000,70784000,75840000,50560000,854460000
36,tyrA,91008000,101120000,96064000,96064000,96064000,85952000,156740000,121340000,187070000,257860000,91008000,176960000,85952000,136510000,75840000,70784000,80896000,80896000,75840000,75840000,80896000,80896000,101120000,121340000,91008000,91008000,111230000,96064000,96064000,96064000,106180000,101120000,101120000,101120000,96064000,116290000,96064000,85952000,242690000,960640000,819070000,70784000,141570000,70784000,70784000,80896000,65728000,935360000
37,trpA,126400000,85952000,101120000,101120000,96064000,80896000,101120000,106180000,121340000,141570000,85952000,111230000,106180000,91008000,80896000,65728000,85952000,91008000,60672000,80896000,70784000,101120000,111230000,85952000,126400000,101120000,111230000,101120000,101120000,85952000,91008000,96064000,106180000,101120000,136510000,106180000,111230000,70784000,85952000,70784000,70784000,60672000,85952000,60672000,75840000,65728000,60672000,844350000
38,trpB,101120000,85952000,96064000,91008000,101120000,91008000,106180000,91008000,111230000,111230000,80896000,131460000,85952000,101120000,75840000,70784000,80896000,80896000,80896000,80896000,75840000,91008000,96064000,111230000,85952000,101120000,106180000,106180000,96064000,85952000,96064000,85952000,96064000,101120000,96064000,116290000,91008000,85952000,80896000,70784000,70784000,70784000,91008000,65728000,70784000,70784000,55616000,839300000
39,trpC,192130000,146620000,161790000,146620000,126400000,91008000,212350000,111230000,156740000,182020000,106180000,237630000,116290000,176960000,85952000,80896000,111230000,106180000,96064000,111230000,146620000,116290000,121340000,121340000,131460000,131460000,141570000,166850000,146620000,116290000,136510000,166850000,131460000,141570000,151680000,207300000,111230000,75840000,75840000,75840000,1162900000,96064000,161790000,106180000,85952000,121340000,65728000,854460000
40,trpD,434820000,495490000,520770000,434820000,262910000,156740000,515710000,237630000,793790000,1011200000,262910000,566270000,151680000,424700000,187070000,171900000,232580000,242690000,197180000,323580000,283140000,207300000,182020000,262910000,182020000,293250000,283140000,348860000,278080000,242690000,252800000,313470000,242690000,252800000,283140000,920190000,111230000,111230000,96064000,85952000,283140000,166850000,202240000,278080000,278080000,399420000,85952000,910080000
41,trpE,414590000,394370000,434820000,379200000,192130000,96064000,470210000,171900000,252800000,692670000,131460000,500540000,136510000,384260000,136510000,111230000,247740000,247740000,202240000,227520000,369090000,176960000,161790000,303360000,161790000,333700000,308420000,429760000,298300000,222460000,217410000,318530000,247740000,262910000,217410000,955580000,111230000,96064000,1213400000,293250000,91008000,151680000,212350000,273020000,283140000,364030000,60672000,889860000
42,ilvC,91008000,85952000,75840000,75840000,80896000,80896000,91008000,91008000,96064000,85952000,85952000,136510000,85952000,80896000,65728000,70784000,70784000,75840000,55616000,70784000,80896000,85952000,101120000,116290000,75840000,85952000,85952000,70784000,75840000,80896000,85952000,91008000,91008000,96064000,106180000,121340000,65728000,75840000,80896000,141570000,156740000,80896000,141570000,91008000,80896000,85952000,80896000,803900000
43,ilvE,111230000,96064000,121340000,101120000,106180000,85952000,96064000,151680000,85952000,85952000,85952000,106180000,96064000,85952000,70784000,80896000,80896000,70784000,65728000,85952000,121340000,91008000,106180000,65728000,101120000,65728000,101120000,91008000,91008000,85952000,96064000,91008000,121340000,121340000,182020000,111230000,116290000,75840000,217410000,227520000,202240000,141570000,75840000,106180000,111230000,116290000,65728000,819070000
44,leuB,85952000,91008000,75840000,80896000,91008000,75840000,91008000,80896000,80896000,80896000,80896000,126400000,65728000,85952000,75840000,65728000,70784000,101120000,60672000,65728000,70784000,75840000,101120000,106180000,70784000,91008000,96064000,85952000,101120000,80896000,91008000,91008000,96064000,91008000,106180000,116290000,75840000,91008000,111230000,318530000,252800000,80896000,136510000,75840000,75840000,85952000,70784000,803900000
45,leuD,111230000,85952000,85952000,85952000,80896000,75840000,91008000,75840000,80896000,80896000,91008000,106180000,96064000,70784000,65728000,60672000,70784000,60672000,65728000,60672000,65728000,75840000,101120000,70784000,106180000,75840000,85952000,80896000,80896000,85952000,85952000,85952000,91008000,96064000,116290000,91008000,106180000,80896000,126400000,308420000,273020000,75840000,96064000,75840000,70784000,80896000,70784000,864580000
46,leuC,80896000,85952000,91008000,85952000,80896000,80896000,111230000,85952000,80896000,70784000,85952000,121340000,75840000,96064000,75840000,55616000,70784000,65728000,75840000,70784000,55616000,80896000,85952000,101120000,96064000,96064000,106180000,91008000,85952000,85952000,96064000,91008000,101120000,111230000,126400000,111230000,85952000,85952000,121340000,389310000,298300000,80896000,126400000,80896000,80896000,80896000,70784000,819070000
47,Negative,106180000,70784000,75840000,70784000,70784000,75840000,75840000,70784000,80896000,80896000,75840000,96064000,96064000,70784000,55616000,55616000,55616000,55616000,55616000,60672000,60672000,75840000,80896000,60672000,106180000,55616000,60672000,70784000,70784000,65728000,70784000,85952000,80896000,75840000,60672000,80896000,101120000,75840000,70784000,65728000,65728000,65728000,75840000,70784000,70784000,75840000,60672000,915140000
48,Positive,748290000,768510000,753340000,743230000,733120000,808960000,950530000,834240000,743230000,723010000,758400000,839300000,824130000,874690000,839300000,808960000,793790000,783680000,773570000,723010000,632000000,814020000,839300000,839300000,510660000,702780000,778620000,546050000,601660000,697730000,530880000,535940000,495490000,601660000,551100000,753340000,697730000,728060000,808960000,915140000,844350000,723010000,601660000,768510000,808960000,758400000,692670000,1041500000
