,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
36,814012000,819070000,869636000,723006000,207296000,768508000,748280000,803910000,854430000,899940000,0,717950000,30338000,940390000,85950000,25280000,45504000,65724000,131460000,85950000,899964000,45504000,91010000,40450000,40452000,91012000,55620000,91006000,55616000,222466000,116280000,202240000,136510000,146620000,910036000,25280000,788736000,171908000,647170000,187060000,151680000,581436000,980830000,783676000,616836000,859524000,10112000,358940000
37,940400000,814018000,778620000,672450000,712896000,207294000,353920000,551100000,1016260000,970730000,65728000,803910000,15160000,970792000,55614000,480322000,237628000,96062000,202238000,510654000,1016216000,141570000,80900000,217408000,166850000,369090000,227520000,439870000,217410000,353918000,394372000,621886000,677500000,763460000,556160000,768510000,-5050000,-5056000,-5056000,25280000,25280000,429758000,1036448000,642108000,626940000,829182000,0,434850000
38,217410000,60668000,65726000,192132000,50560000,80892000,146620000,166852000,996070000,879750000,20224000,505600000,0,465150000,25280000,15168000,10112000,15168000,10112000,20224000,288190000,55612000,35396000,15170000,45508000,75840000,40440000,65720000,55616000,55618000,35396000,70788000,80896000,75840000,212356000,156730000,-10112000,-5056000,-20224000,-5056000,20224000,197186000,940392000,217412000,161796000,267966000,0,419600000
39,894870000,642120000,596610000,702790000,495490000,293252000,556160000,717950000,1263960000,1198280000,379200000,657280000,101120000,990940000,146628000,207294000,106180000,111230000,96066000,116290000,839300000,136510000,96070000,166850000,126400000,328640000,217410000,338750000,217410000,293250000,343810000,419650000,288190000,343810000,551100000,657280000,5060000,-10112000,50560000,-10112000,384200000,60676000,1344910000,535930000,515708000,591560000,91012000,444940000
40,738180000,399420000,530830000,490430000,687620000,697720000,854490000,808970000,642110000,444900000,702790000,384260000,788740000,819100000,358980000,788740000,419640000,364030000,288200000,343810000,874660000,621880000,333690000,111230000,333690000,642110000,657280000,576390000,723020000,404480000,455040000,525830000,394370000,444930000,581440000,60670000,15170000,-15166000,-15168000,-5056000,121340000,652220000,1142660000,525820000,540990000,652180000,-20224000,424720000
41,576390000,530880000,495480000,404480000,824170000,773566000,434810000,869600000,1122400000,692630000,601660000,561260000,829190000,667340000,166850000,353920000,217410000,197190000,197180000,530880000,743210000,551100000,495490000,273020000,480320000,571320000,662330000,485380000,662340000,510660000,485370000,399420000,505600000,556160000,384250000,106220000,0,15166000,439900000,156730000,-30336000,778620000,1011250000,601670000,637050000,743270000,-15168000,490440000
42,10112000,80898000,40450000,5056000,20224000,1097104000,925292000,824132000,-15168000,-15168000,-5056000,935390000,-10112000,1006104000,35392000,20224000,15168000,25280000,121344000,141566000,0,20228000,25280000,15170000,30340000,5056000,20228000,30336000,30340000,25284000,40448000,35392000,60672000,75836000,687610000,171910000,632002000,80900000,111234000,182010000,803900000,-15168000,1046630000,-5056000,-10112000,-20224000,-20224000,753300000
43,945470000,1076936000,1046560000,1046580000,915120000,975848000,207296000,996020000,1001048000,1147748000,45508000,985920000,970736000,990948000,879746000,91004000,91004000,101116000,697732000,905028000,970760000,303362000,808960000,91012000,121340000,465152000,515710000,475262000,262912000,930348000,743236000,874692000,753350000,803910000,1142680000,970770000,935310000,889860000,1071890000,935380000,899960000,1178030000,-20224000,1097120000,1081970000,1203310000,-15168000,576430000
44,5056000,5056000,10112000,40444000,-5056000,40450000,753342000,697724000,5056000,-5056000,-5056000,146620000,35392000,252798000,20224000,10112000,10112000,-15168000,30336000,10112000,0,40450000,10110000,20220000,30336000,0,10116000,-5056000,5060000,40444000,30332000,30332000,55616000,101122000,166840000,637050000,283140000,30332000,632000000,460090000,576380000,-5056000,1046590000,-20224000,-5056000,-20224000,-5056000,556200000
45,10110000,-15168000,5056000,15168000,5056000,20224000,763452000,702780000,-5056000,-10112000,-15168000,414590000,15166000,763456000,30336000,15168000,15168000,15168000,5056000,5056000,5056000,35390000,15170000,5056000,5050000,10112000,25278000,5056000,25284000,35388000,25278000,30338000,45502000,40446000,176960000,495492000,55610000,35394000,616830000,535930000,637060000,-20224000,1233636000,-20224000,10112000,-10112000,-15168000,535920000
46,252804000,15168000,-10112000,50558000,20224000,35394000,768510000,793788000,-15168000,0,-10112000,495490000,10112000,905036000,15168000,15168000,10112000,10112000,5056000,0,25280000,30334000,30338000,10110000,20226000,5056000,10110000,0,5056000,30338000,25276000,55612000,75840000,65730000,192130000,510660000,136508000,80898000,657280000,525830000,541000000,-20224000,1183100000,-25280000,-20224000,-10112000,-10112000,591530000
47,0,-10112000,-20224000,5056000,-20224000,-15168000,-20224000,-15168000,-15168000,-20224000,-5056000,-5056000,5056000,20224000,10112000,15168000,5056000,15168000,0,0,10112000,15168000,20224000,5056000,-5060000,15168000,0,-10112000,-5056000,-10112000,0,-10112000,-15168000,-5056000,-25280000,-15168000,-10112000,-25280000,-15168000,-10112000,-15168000,-20224000,-20224000,-15168000,-5056000,10112000,-10112000,485360000
48,621910000,616790000,449960000,626970000,586480000,399440000,500570000,369060000,449970000,429790000,460100000,328600000,500570000,444910000,394400000,616840000,561210000,389320000,535930000,631990000,510700000,409580000,333700000,338700000,945440000,733120000,434780000,915150000,814040000,525870000,905020000,869660000,915110000,601640000,692700000,465160000,712870000,495540000,444940000,353960000,520750000,551090000,889840000,434790000,404440000,465200000,621930000,359000000
