Reaction ID,Reaction name,Reaction equation,EC number,Enzyme molar mass [g/mol],Turnover number (kcat) [1/s]
UAG2E_b,UDP-N-acetylglucosamine 2-epimerase,uacmam_c  -> uacgam_c ,5.1.3.14,42243.33,3.625
HACD5_b,3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA),nad_c + 3hddcoa_c  -> h_c + 3oddcoa_c + nadh_c ,1.1.1.35,78330.795,0.004
GHMT2r_b,"Glycine hydroxymethyltransferase, reversible",mlthf_c + h2o_c + gly_c  -> ser__L_c + thf_c ,2.1.2.1,45315.27,5
ADK4_b,Adentylate kinase (ITP),adp_c + idp_c  -> itp_c + amp_c ,2.7.4.3,23585.280000000002,783
KARA1_b,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)",h_c + alac__S_c + nadph_c  -> 23dhmb_c + nadp_c ,1.1.1.86,54067.45999999999,0.96
KARA2_b,Ketol-acid reductoisomerase (2-Acetolactate),nadp_c + 23dhmp_c  -> h_c + 2ahbut_c + nadph_c ,1.1.1.86,54067.45999999999,0.00417
ICHORS_copy2_b,Isochorismate synthase,ichor_c  -> chor_c ,5.4.4.2,48763.18,1.8
DHBD_b,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase",h_c + 23dhb_c + nadh_c  -> nad_c + 23ddhb_c ,1.3.1.28,26248.920000000002,25.3
RBP4E_b,L-ribulose-phosphate 4-epimerase,xu5p__D_c  -> ru5p__L_c ,5.1.3.4,25451.769999999997,15.825
HACD6_b,3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA),nad_c + 3htdcoa_c  -> h_c + 3otdcoa_c + nadh_c ,1.1.1.35,78330.795,0.004
ECOAH1_b,3-hydroxyacyl-CoA dehydratase (3-hydroxybutanoyl-CoA),h2o_c + b2coa_c  -> 3hbcoa_c ,4.2.1.17,78330.795,971
ECOAH2_b,3-hydroxyacyl-CoA dehydratase (3-hydroxyhexanoyl-CoA),hx2coa_c + h2o_c  -> 3hhcoa_c ,"1.1.1.35, 4.2.1.17",78330.795,7.5465
ECOAH3_b,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctanoyl-CoA),h2o_c + oc2coa_c  -> 3hocoa_c ,"1.1.1.35, 4.2.1.17",78330.795,7.5465
UGLT_b,UDPglucose--hexose-1-phosphate uridylyltransferase,udpgal_c + g1p_c  -> gal1p_c + udpg_c ,2.7.7.12,39644.42,283
XYLI2_b,Xylose isomerase,fru_c  -> glc__D_c ,5.3.1.5,49740.58,1.67
PMANM_b,Phosphomannomutase,man6p_c  -> man1p_c ,5.4.2.8,50460.99,82.93
UDPG4E_b,UDPglucose 4-epimerase,udpgal_c  -> udpg_c ,5.1.3.2,37263.93,20.15
XYLI1_b,Xylose isomerase,xylu__D_c  -> xyl__D_c ,5.3.1.5,49740.58,7.7
LCARS_b,"Lacaldehyde reductase (S-propane-1,2-diol forming)",nad_c + 12ppd__S_c  -> h_c + lald__L_c + nadh_c ,1.1.1.77,40512.22,76.08846666666668
ALCD19_b,Alcohol dehydrogenase (glycerol),nad_c + glyc_c  -> h_c + glyald_c + nadh_c ,1.1.1.1,65751.495,1
RMPA_b,Rhamnulose-1-phosphate aldolase,dhap_c + lald__L_c  -> rml1p_c ,4.1.2.19,30144.620000000003,9.1
SBTPD_b,Sorbitol-6-phosphate dehydrogenase,h_c + f6p_c + nadh_c  -> nad_c + sbt6p_c ,1.1.1.140,27857.079999999998,213.43394333333333
GLTPD_b,Galactitol-1-phosphate dehydrogenase,h_c + tag6p__D_c + nadh_c  -> nad_c + galt1p_c ,1.1.1.251,37389.060000000005,213.43394333333333
TGBPA_b,Tagatose-bisphosphate aldolase,dhap_c + g3p_c  -> tagdp__D_c ,4.1.2.40,78183.12000000001,5.38
MANAO_b,Mannonate oxidoreductase,h_c + fruur_c + nadh_c  -> nad_c + mana_c ,1.1.1.57,53578.69,213.43394333333333
TAGURr_b,Tagaturonate reductase,h_c + tagur_c + nadh_c  -> nad_c + altrn_c ,1.1.1.58,54806.67,213.43394333333333
HACD4_b,3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA),nad_c + 3hdcoa_c  -> h_c + 3odcoa_c + nadh_c ,1.1.1.35,78330.795,0.004
HACD7_b,3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA),nad_c + 3hhdcoa_c  -> h_c + 3ohdcoa_c + nadh_c ,1.1.1.35,78330.795,0.004
ADK1_b,Adenylate kinase,2 adp_c  -> atp_c + amp_c ,2.7.4.3,23585.280000000002,783
SERASr_b,(L-seryl)adenylate synthase,ppi_c + seramp_c  -> h_c + ser__L_c + atp_c ,2.7.7.-,141986.87,2.1333333333333333
MLTP2_b,Maltodextrin phosphorylase (maltohexaose),g1p_c + maltpt_c  -> pi_c + malthx_c ,2.4.1.1,90519.87999999999,0.001
CYTK1_b,Cytidylate kinase (CMP),adp_c + cdp_c  -> atp_c + cmp_c ,2.7.4.25,24745.640000000003,68.68233333333333
CYTK2_b,Cytidylate kinase (dCMP),adp_c + dcdp_c  -> atp_c + dcmp_c ,2.7.4.25,24745.640000000003,68.68233333333333
GK1_b,Guanylate kinase (GMP:ATP),adp_c + gdp_c  -> atp_c + gmp_c ,2.7.4.8,23591.98,209
HACD1_b,3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA),nad_c + 3hbcoa_c  -> h_c + aacoa_c + nadh_c ,"1.1.1.35, 4.2.1.17",78330.795,7.504
HACD2_b,3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA),nad_c + 3hhcoa_c  -> h_c + 3ohcoa_c + nadh_c ,1.1.1.35,78330.795,0.004
NDPK7_b,Nucleoside-diphosphate kinase (ATP:dCDP),adp_c + dctp_c  -> atp_c + dcdp_c ,2.7.4.3,19524.12,783
GLYAT_b,Glycine C-acetyltransferase,2aobut_c + coa_c  -> accoa_c + gly_c ,2.3.1.29,43115.83,109.46666666666665
CRNBTCT_b,Gamma-butyrobetainyl-CoA: carnitine CoA transferase,gbbtn_c + crncoa_c  -> bbtcoa_c + crn_c ,2.8.3.21,45125.45,76.1108
CRNCBCT_b,Crotonobetainyl-CoA: carnitine CoA transferase,ctbt_c + crncoa_c  -> crn_c + ctbtcoa_c ,2.8.3.21,45125.45,76.1108
CRNCDH_b,Carnityl-CoA dehydratse,h2o_c + ctbtcoa_c  -> crncoa_c ,4.2.1.149,28189.389999999996,10
NDPK2_b,Nucleoside-diphosphate kinase (ATP:UDP),adp_c + utp_c  -> atp_c + udp_c ,2.7.4.3,19524.12,783
NDPK3_b,Nucleoside-diphosphate kinase (ATP:CDP),ctp_c + adp_c  -> atp_c + cdp_c ,"2.7.4.3, 2.7.4.6",19524.12,458.7
NDPK4_b,Nucleoside-diphosphate kinase (ATP:dTDP),adp_c + dttp_c  -> atp_c + dtdp_c ,2.7.4.3,19524.12,783
DGK1_b,Deoxyguanylate kinase (dGMP:ATP),adp_c + dgdp_c  -> atp_c + dgmp_c ,2.7.4.8,23591.98,209
DTMPK_b,DTMP kinase,adp_c + dtdp_c  -> atp_c + dtmp_c ,2.7.4.9,23782.42,0.86
NDPK1_b,Nucleoside-diphosphate kinase (ATP:GDP),adp_c + gtp_c  -> atp_c + gdp_c ,"2.7.4.3, 2.7.4.6",19524.12,407.3333333333333
PGMT_b,Phosphoglucomutase,g6p_c  -> g1p_c ,"5.4.2.2, 5.4.2.6",34234.253333333334,48.894999999999996
UMPK_b,UMP kinase,adp_c + udp_c  -> ump_c + atp_c ,2.7.4.25,25357.585,68.68233333333333
DDPGALA_b,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,g3p_c + pyr_c  -> 2dh3dgal6p_c ,4.1.2.21,21390.07,0.94
F6PA_b,Fructose 6-phosphate aldolase,g3p_c + dha_c  -> f6p_c ,4.1.2.-,23275.430000000004,0.002
IDOND_b,L-idonate 5-dehydrogenase,nad_c + idon__L_c  -> h_c + 5dglcn_c + nadh_c ,1.1.1.264,37145.479999999996,76.08846666666668
MCOATA_b,Malonyl-CoA-ACP transacylase,coa_c + malACP_c  -> malcoa_c + ACP_c ,2.3.1.39,41037.59,9.1
DAPE_b,Diaminopimelate epimerase,26dap__M_c  -> 26dap_LL_c ,5.1.1.7,30207.64,67
SDPTA_b,Succinyldiaminopimelate transaminase,glu__L_c + sl2a6o_c  -> akg_c + sl26da_c ,2.6.1.52,43542.634,0.67
ARAI_b,L-arabinose isomerase,rbl__L_c  -> arab__L_c ,5.3.1.4,56072.39,241.7
M1PD_b,Mannitol-1-phosphate 5-dehydrogenase,h_c + f6p_c + nadh_c  -> nad_c + mnl1p_c ,1.1.1.17,41137.85999999999,125
G3PD2_b,Glycerol-3-phosphate dehydrogenase (NADP),h_c + dhap_c + nadph_c  -> glyc3p_c + nadp_c ,1.1.1.94,36360.57,7.327500000000001
FCI_b,L-fucose isomerase,fcl__L_c  -> fuc__L_c ,5.3.1.3,64974.729999999996,0.0287
FCLPA_b,L-fuculose 1-phosphate aldolase,dhap_c + lald__L_c  -> fc1p_c ,4.1.2.17,23498.229999999996,9.83
UAGAAT_b,UDP-N-acetylglucosamine acyltransferase,u3aga_c + ACP_c  -> uacgam_c + 3hmrsACP_c ,2.3.1.129,36700.43,9.166666666666666
PRPPS_b,Phosphoribosylpyrophosphate synthetase,h_c + prpp_c + amp_c  -> r5p_c + atp_c ,2.7.6.1,34217.19,0.66
PRMICI_b,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase,prlp_c  -> prfp_c ,5.3.1.16,26031.899999999998,14.3
SERAT_b,Serine O-acetyltransferase,acser_c + coa_c  -> ser__L_c + accoa_c ,2.3.1.30,29315.819999999996,0.068
ASPK_b,Aspartate kinase,adp_c + 4pasp_c  -> asp__L_c + atp_c ,2.7.2.4,75510.99,22.130000000000003
ASAD_b,Aspartate-semialdehyde dehydrogenase,h_c + nadph_c + 4pasp_c  -> aspsa_c + pi_c + nadp_c ,1.2.1.11,40016.67,15.6
CBMKr_b,Carbamate kinase,2 h_c + adp_c + cbp_c  -> nh4_c + atp_c + co2_c ,2.7.2.2,31643.25,319
AMANAPEr_b,N-acetylmannosamine 6-phosphate epimerase,acgam6p_c  -> acmanap_c ,5.1.3.9,24073.030000000006,9201.8125
NNATr_b,Nicotinate-nucleotide adenylyltransferase,ppi_c + dnad_c  -> h_c + atp_c + nicrnt_c ,2.7.7.18,24527.25,5.5
GAPD_b,Glyceraldehyde-3-phosphate dehydrogenase,13dpg_c + h_c + nadh_c  -> nad_c + g3p_c + pi_c ,1.2.1.12,35531.37,73.56
ARGSL_b,Argininosuccinate lyase,arg__L_c + fum_c  -> argsuc_c ,4.3.2.1,50316.81999999999,34.5
ACOATA_b,Acetyl-CoA ACP transacylase,acACP_c + coa_c  -> accoa_c + ACP_c ,2.3.1.180,42135.39000000001,0.46
MLTP3_b,Maltodextrin phosphorylase (maltoheptaose),g1p_c + malthx_c  -> pi_c + malthp_c ,2.4.1.1,90519.87999999999,0.001
OCBT_b,Ornithine carbamoyltransferase,h_c + citr__L_c + pi_c  -> cbp_c + orn_c ,2.1.3.3,36866.08499999999,8
GARFT_b,Phosphoribosylglycinamide formyltransferase,h_c + thf_c + fgam_c  -> 10fthf_c + gar_c ,2.1.2.2,23237.609999999997,13.5
PHETA1_b,Phenylalanine transaminase,phpyr_c + glu__L_c  -> akg_c + phe__L_c ,2.6.1.1,40400.39333333333,670
MCITL2_b,Methylisocitrate lyase,succ_c + pyr_c  -> micit_c ,4.1.3.30,32133.749999999993,19
ACOTA_b,Acetylornithine transaminase,acg5sa_c + glu__L_c  -> akg_c + acorn_c ,"2.6.1.19, 2.6.1.81",44482.77,25.45
PRAGSr_b,Phosphoribosylglycinamide synthase,h_c + adp_c + pi_c + gar_c  -> atp_c + gly_c + pram_c ,6.3.4.13,45939.04,2.3
PPAKr_b,Propionate kinase,atp_c + ppa_c  -> ppap_c + adp_c ,2.7.2.15,43382.82,114
PPM2_b,Phosphopentomutase 2 (deoxyribose),2dr5p_c  -> 2dr1p_c ,5.4.2.7,44368.57,173
G6PDH2r_b,Glucose 6-phosphate dehydrogenase,h_c + 6pgl_c + nadph_c  -> nadp_c + g6p_c ,1.1.1.49,55702.72,288
FBA3_b,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",dhap_c + e4p_c  -> s17bp_c ,4.1.2.13,39146.07000000001,0.002
ADK3_b,Adentylate kinase (GTP),adp_c + gdp_c  -> gtp_c + amp_c ,2.7.4.3,23585.280000000002,783
HSDy_b,Homoserine dehydrogenase (NADPH),h_c + aspsa_c + nadph_c  -> hom__L_c + nadp_c ,1.1.1.3,89001.33500000002,156.7
GLUtex_b,L-glutamate transport via diffusion (extracellular to periplasm),glu__L_p  -> glu__L_e ,,39959.4825,100000000
GLYtex_b,Glycine transport via diffusion (extracellular to periplasm),gly_p  -> gly_e ,,39959.4825,100000000
GLYALDtex_b,Glyceraldehyde transport via diffusion (extracellular to periplasm),glyald_p  -> glyald_e ,,39959.4825,100000000
GLYBtex_b,Glycine betaine transport via diffusion (extracellular to periplasm),glyb_p  -> glyb_e ,,39959.4825,100000000
GLYCtex_b,Glycerol transport via diffusion (extracellular to periplasm),glyc_p  -> glyc_e ,,39959.4825,100000000
GLYC3Ptex_b,Glycerol-3-phosphate transport via diffusion (extracellular to periplasm),glyc3p_p  -> glyc3p_e ,,39959.4825,100000000
GLYCLTtex_b,Glycolate transport via diffusion (extracellular to periplasm),glyclt_p  -> glyclt_e ,,39959.4825,100000000
GTPtex_b,GTP transport via diffusion (extracellular to periplasm),gtp_p  -> gtp_e ,,39959.4825,100000000
GUAtex_b,Guanine transport via diffusion (extracellular to periplasm),gua_p  -> gua_e ,,33587.89,100000000
Htex_b,Proton transport via diffusion (extracellular to periplasm),h_p  -> h_e ,,39959.4825,100000000
H2tex_b,Hydrogen transport via diffusion (extracellular to periplasm),h2_p  -> h2_e ,,39959.4825,100000000
H2Otex_b,H2O transport via diffusion (extracellular to periplasm),h2o_p  -> h2o_e ,,37021.28,100000000
DAPtex_b,"1,5-Diaminopentane transport via diffusion (extracellular to periplasm)",15dap_p  -> 15dap_e ,,39959.4825,100000000
12PPDStex_b,"(S)-Propane-1,2-diol transport via diffusion (extracellular to periplasm)",12ppd__S_p  -> 12ppd__S_e ,,39959.4825,100000000
DDGLCNtex_b,2-dehydro-3-deoxy-D-gluconate transport via diffusion (extracellular to periplasm),2ddglcn_p  -> 2ddglcn_e ,,39959.4825,100000000
26DAHtex_b,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",26dap__M_p  -> 26dap__M_e ,,39959.4825,100000000
HCINNMtex_b,3-hydroxycinnamic acid transport via diffusion (extracellular to periplasm),3hcinnm_p  -> 3hcinnm_e ,,39959.4825,100000000
HPPPNtex_b,3-(3-hydroxyphenyl)propionate transport via diffusion (extracellular to periplasm),3hpppn_p  -> 3hpppn_e ,,39959.4825,100000000
ACtex_b,Acetate transport via diffusion (extracellular to periplasm),ac_p  -> ac_e ,,39959.4825,100000000
ACALDtex_b,Acetaldehyde transport via diffusion (extracellular to periplasm),acald_p  -> acald_e ,,39959.4825,100000000
ACMANAtex_b,N-acetyl-D-mannosamine transport via diffusion (extracellular to periplasm),acmana_p  -> acmana_e ,,39959.4825,100000000
ACACT7r_b,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),3ohdcoa_c + coa_c  -> accoa_c + tdcoa_c ,2.3.1.16,43702.130000000005,14.8
ACACT2r_b,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),3ohcoa_c + coa_c  -> accoa_c + btcoa_c ,2.3.1.16,43702.130000000005,14.8
ACACT3r_b,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),3oocoa_c + coa_c  -> accoa_c + hxcoa_c ,2.3.1.16,43702.130000000005,14.8
ACACT4r_b,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),3odcoa_c + coa_c  -> accoa_c + occoa_c ,2.3.1.16,43702.130000000005,14.8
SUCFUMtpp_b,Succinate:fumarate antiporter (periplasm),succ_p + fum_c  -> fum_p + succ_c ,,47364.85333333333,22
TARTRt7pp_b,Tartrate/succinate antiporter (periplasm),tartr__L_c + succ_p  -> tartr__L_p + succ_c ,,52905.03999999999,22
AHGDx_b,(S)-alpha-hydroxyglutarate dehydrogenase,h_c + akg_c + nadh_c  -> nad_c + S2hglut_c ,"1.1.1.399, 1.1.1.95",44174.560000000005,16.82075
AKGt2rpp_b,2-oxoglutarate reversible transport via symport (periplasm),h_c + akg_c  -> h_p + akg_p ,,47051.219999999994,22
THMDt2pp_copy2_b,Thymidine transport in via proton symport (periplasm),h_c + thymd_c  -> h_p + thymd_p ,,46138.509999999995,22
TRPt2rpp_b,L-tryptophan reversible transport via proton symport (periplasm),h_c + trp__L_c  -> h_p + trp__L_p ,,46409.92,22
TYRt2rpp_b,L-tyrosine reversible transport via proton symport (periplasm),h_c + tyr__L_c  -> tyr__L_p + h_p ,,46253.51,22
URIt2pp_copy2_b,Uridine transport in via proton symport (periplasm),h_c + uri_c  -> uri_p + h_p ,,46138.509999999995,22
XTSNt2rpp_b,Xanthosine transport via proton symport (periplasm),h_c + xtsn_c  -> h_p + xtsn_p ,,46138.509999999995,22
GALtex_b,D-galactose transport via diffusion (extracellular to periplasm),gal_p  -> gal_e ,,39959.4825,100000000
GALCTtex_b,D-galactarte transport via diffusion (extracellular to periplasm),galct__D_p  -> galct__D_e ,,39959.4825,100000000
GALCTNtex_b,D-galactonate transport via diffusion (extracellular to periplasm),galctn__D_p  -> galctn__D_e ,,39959.4825,100000000
GALTtex_b,Galactitol transport via diffusion (extracellular to periplasm),galt_p  -> galt_e ,,39959.4825,100000000
GALURtex_b,D-galacturonate transport via diffusion (extracellular to periplasm),galur_p  -> galur_e ,,39959.4825,100000000
ACACt2pp_b,Acetoacetate transport via proton symport  (periplasm),h_c + acac_c  -> h_p + acac_p ,,47526.44,22
TKT2_b,Transketolase,g3p_c + f6p_c  -> xu5p__D_c + e4p_c ,2.2.1.1,72625.08499999999,85.25
GAMtex_b,D-glucosamine transport via diffusion (extracellular to periplasm),gam_p  -> gam_e ,,39959.4825,100000000
GBBTNtex_b,Gamma-butyrobetaine transport via diffusion (extracellular to periplasm),gbbtn_p  -> gbbtn_e ,,39959.4825,100000000
ARBt2rpp_b,L-arabinose transport via proton symport (periplasm),h_c + arab__L_c  -> h_p + arab__L_p ,,51683.05,22
ARGAGMt7pp_b,Arginine/agmatine antiport (periplasm),arg__L_c + agm_p  -> agm_c + arg__L_p ,,46841.40000000001,22
ASNt2rpp_b,L-asparagine reversible transport via proton symport (periplasm),h_c + asn__L_c  -> h_p + asn__L_p ,,54231.64,22
HIStex_b,L-histidine transport via diffusion (extracellular to periplasm),his__L_p  -> his__L_e ,,39959.4825,100000000
HXAtex_b,Hexanoate transport via diffusion (extracellular to periplasm),hxa_p  -> hxa_e ,,39959.4825,100000000
HYXNtex_b,Hypoxanthine transport via diffusion (extracellular to periplasm),hxan_p  -> hxan_e ,,39959.4825,100000000
IDONtex_b,L-idonate transport via diffusion (extracellular to periplasm),idon__L_p  -> idon__L_e ,,39959.4825,100000000
ILEtex_b,L-isoleucine transport via diffusion (extracellular to periplasm),ile__L_p  -> ile__L_e ,,39959.4825,100000000
INSTtex_b,Inositol transport via diffusion (extracellular to periplasm),inost_p  -> inost_e ,,39959.4825,100000000
INStex_b,Inosine transport via diffusion (extracellular to periplasm),ins_p  -> ins_e ,,33587.89,100000000
Ktex_b,Potassium transport via diffusion (extracellular to periplasm),k_p  -> k_e ,,39959.4825,100000000
D_LACtex_b,D-lactate transport via diffusion (extracellular to periplasm),lac__D_p  -> lac__D_e ,,39959.4825,100000000
FRULYStex_b,Fructoselysine transporter via diffusion (extracellular),frulys_p  -> frulys_e ,,39959.4825,100000000
GALCTt2rpp_b,"D-galactarte transport via proton symport, reversible (periplasm)",h_c + galct__D_c  -> h_p + galct__D_p ,,49074.31,22
ASPtex_b,L-aspartate transport via diffusion (extracellular to periplasm),asp__L_p  -> asp__L_e ,,39959.4825,100000000
ACt2rpp_b,Acetate reversible transport via proton symport (periplasm),h_c + ac_c  -> h_p + ac_p ,,20070.43,22
ATPS4rpp_b,ATP synthase (four protons for one ATP) (periplasm),3 h_c + atp_c + h2o_c  -> 4 h_p + adp_c + pi_c ,3.6.3.14,234022.89499999996,285
INDOLEtex_b,Indole transport via diffusion (extracellular to periplasm),indole_p  -> indole_e ,,39959.4825,100000000
L_LACtex_b,L-lactate transport via diffusion (extracellular to periplasm),lac__L_p  -> lac__L_e ,,39959.4825,100000000
ADEt2rpp_b,Adenine transport via proton symport (reversible) (periplasm),h_c + ade_c  -> h_p + ade_p ,,47554.51333333333,22
ADNt2pp_copy2_b,Adenosine transport in via proton symport (periplasm),h_c + adn_c  -> h_p + adn_p ,,46138.509999999995,22
ALLTNt2rpp_b,Allantoin transport in via proton symport (periplasm),h_c + alltn_c  -> h_p + alltn_p ,,52454.75,22
ECOAH8_b,3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA),od2coa_c + h2o_c  -> 3hodcoa_c ,"1.1.1.35, 4.2.1.17",78330.795,7.5465
GUAtpp_b,Guanine transport via diffusion (periplasm),gua_c  -> gua_p ,,46233.58,100000000
HYXNtpp_b,Hypoxanthine transport (periplasm),hxan_c  -> hxan_p ,,46233.58,22
GLCRtex_b,D-glucarate transport via diffusion (extracellular to periplasm),glcr_p  -> glcr_e ,,39959.4825,100000000
GLCNtex_b,D-gluconate transport via diffusion (extracellular to periplasm),glcn_p  -> glcn_e ,,39959.4825,100000000
GLCURtex_b,D-glucuronat transport via diffusion (extracellular to periplasm),glcur_p  -> glcur_e ,,39959.4825,100000000
GLNtex_b,L-glutamine transport via diffusion (extracellular to periplasm),gln__L_p  -> gln__L_e ,,39959.4825,100000000
O2tex_b,Oxygen transport via diffusion (extracellular to periplasm),o2_p  -> o2_e ,,39959.4825,100000000
OCTAtex_b,Octanoate transport via diffusion (extracellular to periplasm),octa_p  -> octa_e ,,39959.4825,100000000
ORNtex_b,Ornithine transport via diffusion (extracellular to periplasm),orn_p  -> orn_e ,,39959.4825,100000000
ECOAH5_b,3-hydroxyacyl-CoA dehydratase (3-hydroxydodecanoyl-CoA),h2o_c + dd2coa_c  -> 3hddcoa_c ,"1.1.1.35, 4.2.1.17",78330.795,7.5465
FUCtpp_b,L-fucose transport via proton symport (periplasm),h_c + fuc__L_c  -> h_p + fuc__L_p ,,47543.700000000004,22
CYTDt2pp_copy2_b,Cytidine transport in via proton symport (periplasm),h_c + cytd_c  -> h_p + cytd_p ,,46138.509999999995,22
DDGLCNt2rpp_b,"2-dehydro-3-deoxy-D-gluconate transport via proton symport, reversible (periplasm)",h_c + 2ddglcn_c  -> h_p + 2ddglcn_p ,,33668.41,22
RMNtex_b,L-rhamnose transport via diffusion (extracellular to periplasm),rmn_p  -> rmn_e ,,39959.4825,100000000
PHEtex_b,L-phenylalanine transport via diffusion (extracellular to periplasm),phe__L_p  -> phe__L_e ,,39959.4825,100000000
PItex_b,Phosphate transport via diffusion (extracellular to periplasm),pi_p  -> pi_e ,,39959.4825,100000000
TRSARr_b,Tartronate semialdehyde reductase,nad_c + glyc__R_c  -> h_c + 2h3oppan_c + nadh_c ,1.1.1.60,30613.19,243
PNTOtex_b,Pantothenate transport via diffusion (extracellular to periplasm),pnto__R_p  -> pnto__R_e ,,39959.4825,100000000
PPPNtex_b,3-phenylpropionate transport via diffusion (extracellular to periplasm),pppn_p  -> pppn_e ,,39959.4825,100000000
PPTtex_b,Phosphonate transport via diffusion (extracellular to periplasm),ppt_p  -> ppt_e ,,39959.4825,100000000
PTRCtex_b,Putrescine transport via diffusion (extracellular to periplasm),ptrc_p  -> ptrc_e ,,39959.4825,100000000
PYRtex_b,Pyruvate transport via diffusion (extracellular to periplasm),pyr_p  -> pyr_e ,,39959.4825,100000000
DSERtex_b,D-serine transport via diffusion (extracellular to periplasm),ser__D_p  -> ser__D_e ,,39959.4825,100000000
SERtex_b,L-serine transport via diffusion (extracellular to periplasm),ser__L_p  -> ser__L_e ,,39959.4825,100000000
SO4tex_b,Sulfate transport via diffusion (extracellular to periplasm),so4_p  -> so4_e ,,39959.4825,100000000
SPMDtex_b,Spermidine transport via diffusion (extracellular to periplasm),spmd_p  -> spmd_e ,,39959.4825,100000000
SUCCtex_b,Succinate transport via diffusion (extracellular to periplasm),succ_p  -> succ_e ,,39959.4825,100000000
SUCRtex_b,Sucrose transport transport via diffusion (extracellular to periplasm),sucr_p  -> sucr_e ,,39959.4825,100000000
TARTRtex_b,Tartrate transport via diffusion (extracellular to periplasm),tartr__L_p  -> tartr__L_e ,,39959.4825,100000000
TAURtex_b,Taurine transport via diffusion (extracellular to periplasm),taur_p  -> taur_e ,,39959.4825,100000000
THRtex_b,L-threonine transport via diffusion (extracellular to periplasm),thr__L_p  -> thr__L_e ,,39959.4825,100000000
THMDtex_b,Thymidine transport via diffusion (extracellular to periplasm),thymd_p  -> thymd_e ,,39959.4825,100000000
METDtex_b,D-methionine transport via diffusion (extracellular to periplasm),met__D_p  -> met__D_e ,,39959.4825,100000000
METtex_b,L-methionine transport via diffusion (extracellular to periplasm),met__L_p  -> met__L_e ,,39959.4825,100000000
MNLtex_b,Mannitol transport via diffusion (extracellular to periplasm),mnl_p  -> mnl_e ,,39959.4825,100000000
NAtex_b,Sodium transport via diffusion (extracellular to periplasm),na1_p  -> na1_e ,,39959.4825,100000000
NACtex_b,Nicotinic acid transport via diffusion (extracellular to periplasm),nac_p  -> nac_e ,,39959.4825,100000000
NH4tex_b,Ammonia transport via diffusion (extracellular to periplasm),nh4_p  -> nh4_e ,,39959.4825,100000000
BUTtex_b,Butyrate transport via diffusion (extracellular to periplasm),but_p  -> but_e ,,39959.4825,100000000
CHLtex_b,Choline transport via diffusion (extracellular to periplasm),chol_p  -> chol_e ,,39959.4825,100000000
CO2tex_b,CO2 transport via diffusion (extracellular to periplasm),co2_p  -> co2_e ,,39959.4825,100000000
CRNtex_b,L-carnitine transport via diffusion (extracellular to periplasm),crn_p  -> crn_e ,,39959.4825,100000000
DINStex_b,Deoxyinosine transport via diffusion (extracellular to periplasm),din_p  -> din_e ,,39959.4825,100000000
DMStex_b,Dimethyl sulfide transport via diffusion (extracellular to periplasm),dms_p  -> dms_e ,,39959.4825,100000000
CSNtex_b,Cytosine transport via diffusion (extracellular to periplasm),csn_p  -> csn_e ,,39959.4825,100000000
CYNTtex_b,Cyanate transport via diffusion (extracellular to periplasm),cynt_p  -> cynt_e ,,39959.4825,100000000
CYStex_b,L-cysteine transport via diffusion (extracellular to periplasm),cys__L_p  -> cys__L_e ,,39959.4825,100000000
CYTDtex_b,Cytidine transport via diffusion (extracellular to periplasm),cytd_p  -> cytd_e ,,39959.4825,100000000
DCAtex_b,Decanoate transport via diffusion (extracellular to periplasm),dca_p  -> dca_e ,,39959.4825,100000000
DCYTtex_b,Deoxycytidine transport via diffusion (extracellular to periplasm),dcyt_p  -> dcyt_e ,,33587.89,100000000
DGSNtex_b,Deoxyguanosine transport via diffusion (extracellular to periplasm),dgsn_p  -> dgsn_e ,,39959.4825,100000000
LCTStex_b,Lactose transport via diffusion (extracellular to periplasm),lcts_p  -> lcts_e ,,39959.4825,100000000
LEUtex_b,L-leucine transport via diffusion (extracellular to periplasm),leu__L_p  -> leu__L_e ,,39959.4825,100000000
LYStex_b,L-lysine transport via diffusion (extracellular to periplasm),lys__L_p  -> lys__L_e ,,39959.4825,100000000
